iter	Passed	Remaining
0	461	230227
1	905	225378
2	1363	225818
3	1779	220663
4	2189	216808
5	2602	214294
6	3028	213283
7	3457	212625
8	3855	210314
9	4266	209048
10	4692	208596
11	5102	207490
12	5528	207094
13	5954	206715
14	6383	206384
15	6849	207198
16	7259	206245
17	7675	205530
18	8088	204769
19	8512	204296
20	8925	203592
21	9330	202723
22	9759	202401
23	10178	201865
24	10593	201282
25	10995	200451
26	11412	199933
27	11863	199989
28	12259	199115
29	12690	198816
30	13108	198316
31	13552	198205
32	13991	197995
33	14402	197403
34	14809	196749
35	15241	196442
36	15639	195706
37	16067	195352
38	16508	195135
39	16910	194466
40	17343	194166
41	17734	193392
42	18176	193173
43	18587	192634
44	18995	192064
45	19404	191511
46	19811	190945
47	20223	190437
48	20660	190156
49	21072	189652
50	21476	189077
51	21911	188774
52	24936	210314
53	25363	209487
54	25785	208626
55	26209	207800
56	26604	206767
57	27007	205813
58	27425	204997
59	27852	204252
60	28278	203510
61	28725	202931
62	29157	202250
63	29564	201407
64	29984	200665
65	30394	199869
66	30787	198970
67	31211	198282
68	31627	197560
69	32029	196750
70	32431	195961
71	32864	195359
72	33302	194795
73	33753	194309
74	34161	193580
75	34587	192961
76	35035	192470
77	35454	191818
78	35871	191164
79	38401	201609
80	39251	203039
81	39671	202227
82	40096	201448
83	40533	200736
84	40944	199906
85	41342	199020
86	41764	198259
87	42224	197689
88	42643	196925
89	43075	196233
90	43472	195389
91	43897	194674
92	44310	193916
93	44723	193166
94	45123	192370
95	45538	191639
96	45942	190873
97	46359	190168
98	46799	189561
99	47258	189034
100	47691	188405
